"Estado","Ano","ImpostoSobreProduto","Pib","RendaPerCapita","RendimentoMedio","TaxaDesemprego","TotalAdmissao","TotalDemissao","TaxaInadimplencia","QtdInadimplentes","TotalHomem","TotalMulher","H_0 a 1","H_1 a 4","H_5 a 9","H_10 a 14","H_15 a 19","H_20 a 29","H_30 a 39","H_40 a 49","H_50 a 59","H_60 a 69","H_70 a 79","H_80 +","M_0 a 1","M_1 a 4","M_5 a 9","M_10 a 14","M_15 a 19","M_20 a 29","M_30 a 39","M_40 a 49","M_50 a 59","M_60 a 69","M_70 a 79","M_80 +","Automovel","Caminhao","CaminhaoTrator","Caminhonete","Camioneta","Ciclomotor","Microonibus","Motocicleta","Motoneta"
"Pará","2017","13,971,348","145,236,495"," $ 715.00 "," $ 1,513.00 ","11.8%","241486","252929","45.8%","2373317","4231182","4164171","71473","301747","407517","453059","415819","823965","667736","466921","316492","181434","90386","34633","69252","289582","393920","435647","408226","825611","655941","452176","312045","180384","96248","45139","571646","60566","7943","140001","38045","5706","6609","834538","182354"
"Paraíba","2017","6,496,724","62,036,110"," $ 928.00 "," $ 1,661.75 ","11.4%","113526","117379","33.0%","911125","1950540","2078296","28814","107504","150633","166116","163657","365484","303068","265673","173976","123757","64446","37412","26147","101492","143161","161269","158188","371142","321108","288889","202724","152175","93191","58810","504550","28667","2655","78599","26828","28327","4656","469196","64778"
"Paraná","2017","50,636,970","426,361,178"," $ 1,472.00 "," $ 2,485.50 ","9.0%","1059573","1051833","38.0%","3067483","5536582","5789088","58366","217870","297440","447315","441399","967244","834955","875219","677854","405986","224245","88689","52207","202861","294484","429302","440189","945038","879994","926135","748685","474879","265181","130133","4304271","268368","88176","632503","230245","8059","22088","1128674","286351"
"Pernambuco","2017","24,175,248","177,616,332"," $ 852.00 "," $ 1,784.75 ","17.7%","371604","384671","43.0%","2785720","4543568","4936497","54505","235598","352816","409274","375035","854383","745630","620480","417569","273286","136300","68692","53430","225688","337711","394511","372640","888020","804427","696988","506671","342737","202718","110956","1276880","92051","11793","176442","88690","37784","18602","1004935","103461"
"Piauí","2017","4,774,935","43,662,314"," $ 750.00 "," $ 1,455.25 ","12.9%","88732","86859","38.1%","826372","1561658","1650092","8387","32813","90709","100723","102755","322230","285229","220909","172448","119268","70044","36143","10550","33964","71168","91095","120873","303933","286363","224802","221769","135598","97765","52212","341656","28790","2493","84066","16769","6560","3732","537035","94916"
"Rio de Janeiro","2017","93,797,447","621,233,048"," $ 1,445.00 "," $ 2,506.00 ","14.9%","1063634","1163888","47.9%","5905676","7950236","8777490","85409","348447","523118","687751","626079","1352399","1255772","1138101","963054","558133","292661","119312","84013","340254","508303","663994","614227","1392417","1363568","1270672","1148598","714887","432223","244334","4401662","144289","16285","334182","291180","41277","38273","918026","162918"
"Rio Grande do Norte","2017","7,021,735","62,071,133"," $ 845.00 "," $ 1,690.50 ","14.5%","137040","138801","38.6%","932549","1713537","1795968","20578","86174","123146","149691","152041","344188","263748","245056","148818","101039","50059","28999","20055","83127","113742","142215","149364","343065","275582","263827","170893","121354","69045","43699","533531","32851","3260","82943","28417","25927","5047","423707","59184"
"Rio Grande do Sul   ","2017","56,954,264","435,297,399"," $ 1,635.00 "," $ 2,589.00 ","8.4%","1011531","1023900","35.3%","2962262","5481409","5845087","44921","194798","316763","431682","403442","968914","774715","803247","762144","464730","225769","90284","45590","190730","299610","413075","395977","971650","780929","863245","848723","537054","316017","182487","4185193","226176","56965","508279","249994","5665","20741","1059042","184952"
"Rondônia","2017","4,161,783","42,338,667"," $ 957.00 "," $ 1,835.00 ","8.2%","95789","95670","44.9%","536754","923680","883870","14190","56940","73811","85032","86199","184748","145131","125422","81276","44918","18445","7568","12381","54930","72743","81024","81756","172748","147458","116430","78113","40216","18461","7610","266709","30522","6410","88034","12094","2597","1231","381743","116635"
"Roraima","2017","869,897","11,779,095"," $ 1,006.00 "," $ 2,251.25 ","9.9%","20311","18514","58.8%","183507","265079","258044","5063","20376","27593","30173","26620","51102","38999","29053","19618","10325","4411","1746","4775","19135","26153","29430","25895","51590","40304","27808","18184","8821","3981","1968","70086","4884","731","25538","4892","977","683","77944","19825"
"Santa Catarina","2017","38,273,943","264,242,358"," $ 1,597.00 "," $ 2,527.50 ","7.1%","906001","879221","35.5%","1789930","3451734","3529151","37472","145486","197177","264625","278455","669387","530710","537847","417944","226627","108235","37769","36160","138086","190088","255822","275581","641875","530833","558925","442962","251816","139009","67994","2827795","150504","49568","374414","170548","1817","11901","851217","265643"
"São Paulo","2017","313,002,302","2,136,108,093"," $ 1,712.00 "," $ 3,084.75 ","13.4%","4267365","4291399","44.1%","14536592","21805684","23313160","210519","837005","1263157","1615299","1435863","4030011","3641753","3233493","2795573","1566116","811402","365493","207185","800738","1192626","1551509","1363182","3948686","3815050","3525987","3219320","1898652","1124471","665754","17719258","672998","166127","1891625","1156884","54904","119244","4493255","864997"
